2025-09-12 14:19:59,419 - INFO - Event:DATABASE_INIT | Details:SQLite database initialized at /home/silpc-011/Desktop/adwaith/biometricservice/database/attendance_queue.db | Status:SYSTEM
2025-09-12 14:23:00,425 - INFO - Event:DEVICE_UNREGISTERED | Details:Device disconnected: ZXRC21016024 | Status:SYSTEM
2025-09-12 14:23:00,478 - INFO - Event:DEVICE_CONNECTED | Details:Device connected: 192.168.0.232:56312 | Status:SYSTEM
2025-09-12 14:23:00,526 - INFO - Event:DEVICE_REGISTERED | Details:Device ZXRC21016024 connected from 192.168.0.232:56312 | Status:SYSTEM
2025-09-12 14:23:20,590 - INFO - Event:DEVICE_DISCONNECTED | Details:Connection closed: 192.168.0.232:56312 | Status:SYSTEM
2025-09-12 14:23:20,591 - INFO - Event:DEVICE_UNREGISTERED | Details:Device disconnected: ZXRC21016024 | Status:SYSTEM
2025-09-12 14:23:21,745 - INFO - Event:DEVICE_CONNECTED | Details:Device connected: 192.168.0.232:56314 | Status:SYSTEM
2025-09-12 14:23:21,767 - INFO - Event:DEVICE_REGISTERED | Details:Device ZXRC21016024 connected from 192.168.0.232:56314 | Status:SYSTEM
2025-09-12 14:23:52,473 - INFO - Event:DEVICE_DISCONNECTED | Details:Connection closed: 192.168.0.232:56314 | Status:SYSTEM
2025-09-12 14:23:52,473 - INFO - Event:DEVICE_UNREGISTERED | Details:Device disconnected: ZXRC21016024 | Status:SYSTEM
2025-09-12 14:23:53,540 - INFO - Event:DEVICE_CONNECTED | Details:Device connected: 192.168.0.232:56316 | Status:SYSTEM
2025-09-12 14:23:55,948 - INFO - Event:DEVICE_REGISTERED | Details:Device ZXRC21016024 connected from 192.168.0.232:56316 | Status:SYSTEM
2025-09-12 14:23:58,050 - INFO - Event:RETRY_BATCH | Details:Processing 13 queued records | Status:SYSTEM
2025-09-12 14:24:35,296 - INFO - Event:DEVICE_DISCONNECTED | Details:Connection closed: 192.168.0.232:56316 | Status:SYSTEM
2025-09-12 14:24:35,296 - INFO - Event:DEVICE_UNREGISTERED | Details:Device disconnected: ZXRC21016024 | Status:SYSTEM
2025-09-12 14:24:37,708 - INFO - Event:DEVICE_CONNECTED | Details:Device connected: 192.168.0.232:56318 | Status:SYSTEM
2025-09-12 14:24:37,890 - INFO - Event:DEVICE_REGISTERED | Details:Device ZXRC21016024 connected from 192.168.0.232:56318 | Status:SYSTEM
2025-09-12 14:25:07,978 - INFO - Event:DEVICE_DISCONNECTED | Details:Connection closed: 192.168.0.232:56318 | Status:SYSTEM
2025-09-12 14:25:07,978 - INFO - Event:DEVICE_UNREGISTERED | Details:Device disconnected: ZXRC21016024 | Status:SYSTEM
2025-09-12 14:25:08,124 - INFO - Event:DEVICE_CONNECTED | Details:Device connected: 192.168.0.232:56320 | Status:SYSTEM
2025-09-12 14:25:08,699 - INFO - Event:DEVICE_REGISTERED | Details:Device ZXRC21016024 connected from 192.168.0.232:56320 | Status:SYSTEM
2025-09-12 14:25:38,694 - INFO - Event:DEVICE_DISCONNECTED | Details:Connection closed: 192.168.0.232:56320 | Status:SYSTEM
2025-09-12 14:25:38,694 - INFO - Event:DEVICE_UNREGISTERED | Details:Device disconnected: ZXRC21016024 | Status:SYSTEM
2025-09-12 14:25:39,249 - INFO - Event:DEVICE_CONNECTED | Details:Device connected: 192.168.0.232:56322 | Status:SYSTEM
2025-09-12 14:25:39,323 - INFO - Event:DEVICE_REGISTERED | Details:Device ZXRC21016024 connected from 192.168.0.232:56322 | Status:SYSTEM
2025-09-12 14:26:10,033 - INFO - Event:DEVICE_DISCONNECTED | Details:Connection closed: 192.168.0.232:56322 | Status:SYSTEM
2025-09-12 14:26:10,033 - INFO - Event:DEVICE_UNREGISTERED | Details:Device disconnected: ZXRC21016024 | Status:SYSTEM
2025-09-12 14:26:10,070 - INFO - Event:DEVICE_CONNECTED | Details:Device connected: 192.168.0.232:56324 | Status:SYSTEM
2025-09-12 14:26:10,124 - INFO - Event:DEVICE_REGISTERED | Details:Device ZXRC21016024 connected from 192.168.0.232:56324 | Status:SYSTEM
2025-09-12 14:26:40,769 - INFO - Event:DEVICE_DISCONNECTED | Details:Connection closed: 192.168.0.232:56324 | Status:SYSTEM
2025-09-12 14:26:40,770 - INFO - Event:DEVICE_UNREGISTERED | Details:Device disconnected: ZXRC21016024 | Status:SYSTEM
2025-09-12 14:26:40,870 - INFO - Event:DEVICE_CONNECTED | Details:Device connected: 192.168.0.232:56326 | Status:SYSTEM
2025-09-12 14:26:40,981 - INFO - Event:DEVICE_REGISTERED | Details:Device ZXRC21016024 connected from 192.168.0.232:56326 | Status:SYSTEM
2025-09-12 14:27:12,200 - INFO - Event:DEVICE_DISCONNECTED | Details:Connection closed: 192.168.0.232:56326 | Status:SYSTEM
2025-09-12 14:27:12,200 - INFO - Event:DEVICE_UNREGISTERED | Details:Device disconnected: ZXRC21016024 | Status:SYSTEM
2025-09-12 14:27:12,569 - INFO - Event:DEVICE_CONNECTED | Details:Device connected: 192.168.0.232:56328 | Status:SYSTEM
2025-09-12 14:27:12,601 - INFO - Event:DEVICE_REGISTERED | Details:Device ZXRC21016024 connected from 192.168.0.232:56328 | Status:SYSTEM
2025-09-12 14:27:25,019 - INFO - Event:RETRY_BATCH | Details:Processing 13 queued records | Status:SYSTEM
2025-09-12 14:27:33,134 - INFO - Event:APPLICATION_STOPPED | Details:Server stopped by user | Status:SYSTEM
2025-09-12 14:27:33,135 - INFO - Event:APPLICATION_SHUTDOWN | Details:Application shutting down | Status:SYSTEM
2025-09-12 14:27:33,155 - INFO - Event:DEVICE_UNREGISTERED | Details:Device disconnected: ZXRC21016024 | Status:SYSTEM
2025-09-12 14:30:06,449 - INFO - Event:DATABASE_INIT | Details:SQLite database initialized at /home/silpc-011/Desktop/adwaith/biometricservice/database/attendance_queue.db | Status:SYSTEM
2025-09-12 14:30:06,449 - INFO - Event:APPLICATION_STARTING | Details:Biometric server application starting | Status:SYSTEM
2025-09-12 14:30:06,450 - INFO - Event:SERVER_STARTING | Details:WebSocket server starting on 0.0.0.0:8190 | Status:SYSTEM
2025-09-12 14:30:06,462 - INFO - Event:RETRY_TASK_STARTED | Details:Queue retry task started | Status:SYSTEM
2025-09-12 14:30:06,463 - INFO - Event:SERVER_STARTED | Details:Server listening on 0.0.0.0:8190 | Status:SYSTEM
2025-09-12 14:30:06,490 - INFO - Event:DEVICE_CONNECTED | Details:Device connected: 192.168.0.232:45444 | Status:SYSTEM
2025-09-12 14:30:06,529 - INFO - Event:DEVICE_REGISTERED | Details:Device ZXRC21016024 connected from 192.168.0.232:45444 | Status:SYSTEM
2025-09-12 14:30:14,342 - INFO - Event:PROCESSING_BATCH | Details:Processing 1 records from device ZXRC21016024 | Status:SYSTEM
2025-09-12 14:30:16,437 - INFO - Event:QUEUE_SIZE | Details:Current queue size: 1 | Status:SYSTEM
2025-09-12 14:30:39,516 - INFO - Event:DEVICE_DISCONNECTED | Details:Connection closed: 192.168.0.232:45444 | Status:SYSTEM
2025-09-12 14:30:39,517 - INFO - Event:DEVICE_UNREGISTERED | Details:Device disconnected: ZXRC21016024 | Status:SYSTEM
2025-09-12 14:30:40,119 - INFO - Event:DEVICE_CONNECTED | Details:Device connected: 192.168.0.232:45446 | Status:SYSTEM
2025-09-12 14:30:40,661 - INFO - Event:DEVICE_REGISTERED | Details:Device ZXRC21016024 connected from 192.168.0.232:45446 | Status:SYSTEM
2025-09-12 14:31:10,342 - INFO - Event:DEVICE_DISCONNECTED | Details:Connection closed: 192.168.0.232:45446 | Status:SYSTEM
2025-09-12 14:31:10,344 - INFO - Event:DEVICE_UNREGISTERED | Details:Device disconnected: ZXRC21016024 | Status:SYSTEM
2025-09-12 14:31:12,614 - INFO - Event:DEVICE_CONNECTED | Details:Device connected: 192.168.0.232:45448 | Status:SYSTEM
2025-09-12 14:31:13,435 - INFO - Event:DEVICE_REGISTERED | Details:Device ZXRC21016024 connected from 192.168.0.232:45448 | Status:SYSTEM
2025-09-12 14:31:43,890 - INFO - Event:DEVICE_DISCONNECTED | Details:Connection closed: 192.168.0.232:45448 | Status:SYSTEM
2025-09-12 14:31:43,890 - INFO - Event:DEVICE_UNREGISTERED | Details:Device disconnected: ZXRC21016024 | Status:SYSTEM
2025-09-12 14:31:44,792 - INFO - Event:DEVICE_CONNECTED | Details:Device connected: 192.168.0.232:45450 | Status:SYSTEM
2025-09-12 14:31:46,009 - INFO - Event:DEVICE_REGISTERED | Details:Device ZXRC21016024 connected from 192.168.0.232:45450 | Status:SYSTEM
2025-09-12 14:32:16,201 - INFO - Event:DEVICE_DISCONNECTED | Details:Connection closed: 192.168.0.232:45450 | Status:SYSTEM
2025-09-12 14:32:16,202 - INFO - Event:DEVICE_UNREGISTERED | Details:Device disconnected: ZXRC21016024 | Status:SYSTEM
2025-09-12 14:32:16,564 - INFO - Event:DEVICE_CONNECTED | Details:Device connected: 192.168.0.232:45452 | Status:SYSTEM
2025-09-12 14:32:17,664 - INFO - Event:DEVICE_REGISTERED | Details:Device ZXRC21016024 connected from 192.168.0.232:45452 | Status:SYSTEM
2025-09-12 14:32:48,178 - INFO - Event:DEVICE_DISCONNECTED | Details:Connection closed: 192.168.0.232:45452 | Status:SYSTEM
2025-09-12 14:32:48,178 - INFO - Event:DEVICE_UNREGISTERED | Details:Device disconnected: ZXRC21016024 | Status:SYSTEM
2025-09-12 14:32:49,080 - INFO - Event:DEVICE_CONNECTED | Details:Device connected: 192.168.0.232:45454 | Status:SYSTEM
2025-09-12 14:32:49,975 - INFO - Event:DEVICE_REGISTERED | Details:Device ZXRC21016024 connected from 192.168.0.232:45454 | Status:SYSTEM
2025-09-12 14:33:06,471 - INFO - Event:RETRY_BATCH | Details:Processing 1 queued records | Status:SYSTEM
2025-09-12 14:33:19,885 - INFO - Event:DEVICE_DISCONNECTED | Details:Connection closed: 192.168.0.232:45454 | Status:SYSTEM
2025-09-12 14:33:19,886 - INFO - Event:DEVICE_UNREGISTERED | Details:Device disconnected: ZXRC21016024 | Status:SYSTEM
2025-09-12 14:33:21,231 - INFO - Event:DEVICE_CONNECTED | Details:Device connected: 192.168.0.232:45456 | Status:SYSTEM
2025-09-12 14:33:22,685 - INFO - Event:DEVICE_REGISTERED | Details:Device ZXRC21016024 connected from 192.168.0.232:45456 | Status:SYSTEM
2025-09-12 14:33:51,772 - INFO - Event:DEVICE_DISCONNECTED | Details:Connection closed: 192.168.0.232:45456 | Status:SYSTEM
2025-09-12 14:33:51,773 - INFO - Event:DEVICE_UNREGISTERED | Details:Device disconnected: ZXRC21016024 | Status:SYSTEM
2025-09-12 14:33:52,266 - INFO - Event:DEVICE_CONNECTED | Details:Device connected: 192.168.0.232:45458 | Status:SYSTEM
2025-09-12 14:33:53,175 - INFO - Event:DEVICE_REGISTERED | Details:Device ZXRC21016024 connected from 192.168.0.232:45458 | Status:SYSTEM
2025-09-12 14:34:22,892 - INFO - Event:DEVICE_DISCONNECTED | Details:Connection closed: 192.168.0.232:45458 | Status:SYSTEM
2025-09-12 14:34:22,893 - INFO - Event:DEVICE_UNREGISTERED | Details:Device disconnected: ZXRC21016024 | Status:SYSTEM
2025-09-12 14:34:23,199 - INFO - Event:DEVICE_CONNECTED | Details:Device connected: 192.168.0.232:45460 | Status:SYSTEM
2025-09-12 14:34:23,518 - INFO - Event:DEVICE_REGISTERED | Details:Device ZXRC21016024 connected from 192.168.0.232:45460 | Status:SYSTEM
2025-09-12 14:34:54,645 - INFO - Event:DEVICE_DISCONNECTED | Details:Connection closed: 192.168.0.232:45460 | Status:SYSTEM
2025-09-12 14:34:54,646 - INFO - Event:DEVICE_UNREGISTERED | Details:Device disconnected: ZXRC21016024 | Status:SYSTEM
2025-09-12 14:34:55,875 - INFO - Event:DEVICE_CONNECTED | Details:Device connected: 192.168.0.232:45462 | Status:SYSTEM
2025-09-12 14:34:56,568 - INFO - Event:DEVICE_REGISTERED | Details:Device ZXRC21016024 connected from 192.168.0.232:45462 | Status:SYSTEM
2025-09-12 14:35:28,538 - INFO - Event:DEVICE_DISCONNECTED | Details:Connection closed: 192.168.0.232:45462 | Status:SYSTEM
2025-09-12 14:35:28,539 - INFO - Event:DEVICE_UNREGISTERED | Details:Device disconnected: ZXRC21016024 | Status:SYSTEM
2025-09-12 14:35:28,847 - INFO - Event:DEVICE_CONNECTED | Details:Device connected: 192.168.0.232:45464 | Status:SYSTEM
2025-09-12 14:35:29,769 - INFO - Event:DEVICE_REGISTERED | Details:Device ZXRC21016024 connected from 192.168.0.232:45464 | Status:SYSTEM
2025-09-12 14:35:59,836 - INFO - Event:DEVICE_DISCONNECTED | Details:Connection closed: 192.168.0.232:45464 | Status:SYSTEM
2025-09-12 14:35:59,836 - INFO - Event:DEVICE_UNREGISTERED | Details:Device disconnected: ZXRC21016024 | Status:SYSTEM
2025-09-12 14:36:01,309 - INFO - Event:DEVICE_CONNECTED | Details:Device connected: 192.168.0.232:45466 | Status:SYSTEM
2025-09-12 14:36:01,535 - INFO - Event:DEVICE_REGISTERED | Details:Device ZXRC21016024 connected from 192.168.0.232:45466 | Status:SYSTEM
2025-09-12 14:36:08,572 - INFO - Event:RETRY_BATCH | Details:Processing 1 queued records | Status:SYSTEM
2025-09-12 14:36:31,621 - INFO - Event:DEVICE_DISCONNECTED | Details:Connection closed: 192.168.0.232:45466 | Status:SYSTEM
2025-09-12 14:36:31,621 - INFO - Event:DEVICE_UNREGISTERED | Details:Device disconnected: ZXRC21016024 | Status:SYSTEM
2025-09-12 14:36:32,133 - INFO - Event:DEVICE_CONNECTED | Details:Device connected: 192.168.0.232:45468 | Status:SYSTEM
2025-09-12 14:36:33,719 - INFO - Event:DEVICE_REGISTERED | Details:Device ZXRC21016024 connected from 192.168.0.232:45468 | Status:SYSTEM
2025-09-12 14:37:03,101 - INFO - Event:DEVICE_DISCONNECTED | Details:Connection closed: 192.168.0.232:45468 | Status:SYSTEM
2025-09-12 14:37:03,102 - INFO - Event:DEVICE_UNREGISTERED | Details:Device disconnected: ZXRC21016024 | Status:SYSTEM
2025-09-12 14:37:04,185 - INFO - Event:DEVICE_CONNECTED | Details:Device connected: 192.168.0.232:45470 | Status:SYSTEM
2025-09-12 14:37:04,614 - INFO - Event:DEVICE_REGISTERED | Details:Device ZXRC21016024 connected from 192.168.0.232:45470 | Status:SYSTEM
2025-09-12 14:37:35,516 - INFO - Event:DEVICE_DISCONNECTED | Details:Connection closed: 192.168.0.232:45470 | Status:SYSTEM
2025-09-12 14:37:35,516 - INFO - Event:DEVICE_UNREGISTERED | Details:Device disconnected: ZXRC21016024 | Status:SYSTEM
2025-09-12 14:37:38,386 - INFO - Event:DEVICE_CONNECTED | Details:Device connected: 192.168.0.232:45472 | Status:SYSTEM
2025-09-12 14:37:38,808 - INFO - Event:DEVICE_REGISTERED | Details:Device ZXRC21016024 connected from 192.168.0.232:45472 | Status:SYSTEM
2025-09-12 14:38:09,003 - INFO - Event:DEVICE_DISCONNECTED | Details:Connection closed: 192.168.0.232:45472 | Status:SYSTEM
2025-09-12 14:38:09,004 - INFO - Event:DEVICE_UNREGISTERED | Details:Device disconnected: ZXRC21016024 | Status:SYSTEM
2025-09-12 14:38:09,290 - INFO - Event:DEVICE_CONNECTED | Details:Device connected: 192.168.0.232:45474 | Status:SYSTEM
2025-09-12 14:38:09,864 - INFO - Event:DEVICE_REGISTERED | Details:Device ZXRC21016024 connected from 192.168.0.232:45474 | Status:SYSTEM
2025-09-12 14:38:41,115 - INFO - Event:DEVICE_DISCONNECTED | Details:Connection closed: 192.168.0.232:45474 | Status:SYSTEM
2025-09-12 14:38:41,116 - INFO - Event:DEVICE_UNREGISTERED | Details:Device disconnected: ZXRC21016024 | Status:SYSTEM
2025-09-12 14:38:41,815 - INFO - Event:DEVICE_CONNECTED | Details:Device connected: 192.168.0.232:45476 | Status:SYSTEM
2025-09-12 14:38:42,900 - INFO - Event:DEVICE_REGISTERED | Details:Device ZXRC21016024 connected from 192.168.0.232:45476 | Status:SYSTEM
2025-09-12 14:39:12,723 - INFO - Event:DEVICE_DISCONNECTED | Details:Connection closed: 192.168.0.232:45476 | Status:SYSTEM
2025-09-12 14:39:12,724 - INFO - Event:DEVICE_UNREGISTERED | Details:Device disconnected: ZXRC21016024 | Status:SYSTEM
2025-09-12 14:39:14,542 - INFO - Event:DEVICE_CONNECTED | Details:Device connected: 192.168.0.232:45478 | Status:SYSTEM
2025-09-12 14:39:14,949 - INFO - Event:DEVICE_REGISTERED | Details:Device ZXRC21016024 connected from 192.168.0.232:45478 | Status:SYSTEM
2025-09-12 14:39:36,631 - INFO - Event:PROCESSING_BATCH | Details:Processing 1 records from device ZXRC21016024 | Status:SYSTEM
2025-09-12 14:39:38,701 - INFO - Event:QUEUE_SIZE | Details:Current queue size: 1 | Status:SYSTEM
2025-09-12 14:39:52,302 - INFO - Event:DEVICE_DISCONNECTED | Details:Connection closed: 192.168.0.232:45478 | Status:SYSTEM
2025-09-12 14:39:52,302 - INFO - Event:DEVICE_UNREGISTERED | Details:Device disconnected: ZXRC21016024 | Status:SYSTEM
2025-09-12 14:39:52,335 - INFO - Event:DEVICE_CONNECTED | Details:Device connected: 192.168.0.232:45480 | Status:SYSTEM
2025-09-12 14:39:52,358 - INFO - Event:DEVICE_REGISTERED | Details:Device ZXRC21016024 connected from 192.168.0.232:45480 | Status:SYSTEM
2025-09-12 14:39:52,375 - INFO - Event:PROCESSING_BATCH | Details:Processing 2 records from device ZXRC21016024 | Status:SYSTEM
2025-09-12 14:39:54,462 - INFO - Event:QUEUE_SIZE | Details:Current queue size: 2 | Status:SYSTEM
2025-09-12 14:39:56,556 - INFO - Event:QUEUE_SIZE | Details:Current queue size: 3 | Status:SYSTEM
2025-09-12 14:40:23,251 - INFO - Event:DEVICE_DISCONNECTED | Details:Connection closed: 192.168.0.232:45480 | Status:SYSTEM
2025-09-12 14:40:23,251 - INFO - Event:DEVICE_UNREGISTERED | Details:Device disconnected: ZXRC21016024 | Status:SYSTEM
2025-09-12 14:40:24,643 - INFO - Event:DEVICE_CONNECTED | Details:Device connected: 192.168.0.232:45482 | Status:SYSTEM
2025-09-12 14:40:25,070 - INFO - Event:DEVICE_REGISTERED | Details:Device ZXRC21016024 connected from 192.168.0.232:45482 | Status:SYSTEM
2025-09-12 14:40:55,683 - INFO - Event:DEVICE_DISCONNECTED | Details:Connection closed: 192.168.0.232:45482 | Status:SYSTEM
2025-09-12 14:40:55,683 - INFO - Event:DEVICE_UNREGISTERED | Details:Device disconnected: ZXRC21016024 | Status:SYSTEM
2025-09-12 14:40:56,935 - INFO - Event:DEVICE_CONNECTED | Details:Device connected: 192.168.0.232:45484 | Status:SYSTEM
2025-09-12 14:40:57,465 - INFO - Event:DEVICE_REGISTERED | Details:Device ZXRC21016024 connected from 192.168.0.232:45484 | Status:SYSTEM
2025-09-12 14:41:28,752 - INFO - Event:DEVICE_DISCONNECTED | Details:Connection closed: 192.168.0.232:45484 | Status:SYSTEM
2025-09-12 14:41:28,753 - INFO - Event:DEVICE_UNREGISTERED | Details:Device disconnected: ZXRC21016024 | Status:SYSTEM
2025-09-12 14:41:29,608 - INFO - Event:DEVICE_CONNECTED | Details:Device connected: 192.168.0.232:45486 | Status:SYSTEM
2025-09-12 14:41:30,422 - INFO - Event:DEVICE_REGISTERED | Details:Device ZXRC21016024 connected from 192.168.0.232:45486 | Status:SYSTEM
2025-09-12 14:41:59,806 - INFO - Event:DEVICE_DISCONNECTED | Details:Connection closed: 192.168.0.232:45486 | Status:SYSTEM
2025-09-12 14:41:59,806 - INFO - Event:DEVICE_UNREGISTERED | Details:Device disconnected: ZXRC21016024 | Status:SYSTEM
2025-09-12 14:41:59,999 - INFO - Event:DEVICE_CONNECTED | Details:Device connected: 192.168.0.232:45488 | Status:SYSTEM
2025-09-12 14:42:00,886 - INFO - Event:DEVICE_REGISTERED | Details:Device ZXRC21016024 connected from 192.168.0.232:45488 | Status:SYSTEM
2025-09-12 14:42:09,122 - INFO - Event:RETRY_BATCH | Details:Processing 3 queued records | Status:SYSTEM
2025-09-12 14:42:31,559 - INFO - Event:DEVICE_DISCONNECTED | Details:Connection closed: 192.168.0.232:45488 | Status:SYSTEM
2025-09-12 14:42:31,560 - INFO - Event:DEVICE_UNREGISTERED | Details:Device disconnected: ZXRC21016024 | Status:SYSTEM
2025-09-12 14:42:32,380 - INFO - Event:DEVICE_CONNECTED | Details:Device connected: 192.168.0.232:45490 | Status:SYSTEM
2025-09-12 14:42:33,113 - INFO - Event:DEVICE_REGISTERED | Details:Device ZXRC21016024 connected from 192.168.0.232:45490 | Status:SYSTEM
2025-09-12 14:42:56,041 - INFO - Event:APPLICATION_STOPPED | Details:Server stopped by user | Status:SYSTEM
2025-09-12 14:42:56,042 - INFO - Event:APPLICATION_SHUTDOWN | Details:Application shutting down | Status:SYSTEM
2025-09-12 14:42:56,059 - INFO - Event:DEVICE_UNREGISTERED | Details:Device disconnected: ZXRC21016024 | Status:SYSTEM
2025-09-12 14:45:00,983 - INFO - Event:DATABASE_INIT | Details:SQLite database initialized at /home/silpc-011/Desktop/adwaith/biometricservice/database/attendance_queue.db | Status:SYSTEM
2025-09-12 14:45:00,983 - INFO - Event:APPLICATION_STARTING | Details:Biometric server application starting | Status:SYSTEM
2025-09-12 14:45:00,983 - INFO - Event:SERVER_STARTING | Details:WebSocket server starting on 0.0.0.0:8190 | Status:SYSTEM
